Year,Period,Hierarchical Cluster,Countries,Example Countries,Above-Average Features,Below-Average Features
2019,Pre-COVID,0,47,Albania; Algeria; Armenia; Azerbaijan; Belize; Benin; Bhutan; Bosnia and Herzegovina,"Agriculture, forestry, and fishing, value added (% of GDP); Self-employed, total (% of total employment) (modeled ILO estimate); Personal remittances, received (% of GDP); GDP growth (annual %); Domestic private health expenditure (% of current health expenditure)","Domestic general government health expenditure (% of current health expenditure); Domestic general government health expenditure (% of GDP); Services, value added (% of GDP); Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate); Current health expenditure (% of GDP)"
2019,Pre-COVID,1,64,Argentina; Australia; Austria; Belarus; Belgium; Bolivia; Brazil; Brunei Darussalam,"Domestic general government health expenditure (% of current health expenditure); Domestic general government health expenditure (% of GDP); Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate); Services, value added (% of GDP); Current health expenditure (% of GDP)","Agriculture, forestry, and fishing, value added (% of GDP); Self-employed, total (% of total employment) (modeled ILO estimate); Personal remittances, received (% of GDP); GDP growth (annual %); Domestic private health expenditure (% of current health expenditure)"
2019,Pre-COVID,2,4,Cyprus; Luxembourg; Malta; Singapore,"Foreign direct investment, net inflows (% of GDP); Exports of goods and services (% of GDP); Imports of goods and services (% of GDP); Population density (people per sq. km of land area); Services, value added (% of GDP)","Agriculture, forestry, and fishing, value added (% of GDP); Self-employed, total (% of total employment) (modeled ILO estimate); Manufacturing, value added (% of GDP); Gross capital formation (% of GDP); Personal remittances, received (% of GDP)"
2020,Early COVID,0,67,Algeria; Argentina; Australia; Austria; Belarus; Belgium; Bosnia and Herzegovina; Brazil,"Domestic general government health expenditure (% of GDP); Domestic general government health expenditure (% of current health expenditure); Current health expenditure (% of GDP); Services, value added (% of GDP); Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate); Agriculture, forestry, and fishing, value added (% of GDP); Personal remittances, received (% of GDP); Domestic private health expenditure (% of current health expenditure); Foreign direct investment, net inflows (% of GDP)"
2020,Early COVID,1,45,Albania; Armenia; Azerbaijan; Belize; Benin; Bhutan; Bolivia; Burkina Faso,"Self-employed, total (% of total employment) (modeled ILO estimate); Agriculture, forestry, and fishing, value added (% of GDP); Personal remittances, received (% of GDP); Domestic private health expenditure (% of current health expenditure); GDP growth (annual %)","Domestic general government health expenditure (% of GDP); Domestic general government health expenditure (% of current health expenditure); Services, value added (% of GDP); Current health expenditure (% of GDP); Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)"
2020,Early COVID,2,3,Luxembourg; Malta; Singapore,"Foreign direct investment, net inflows (% of GDP); Exports of goods and services (% of GDP); Population density (people per sq. km of land area); Imports of goods and services (% of GDP); Services, value added (% of GDP)","Agriculture, forestry, and fishing, value added (% of GDP); Self-employed, total (% of total employment) (modeled ILO estimate); Personal remittances, received (% of GDP); Unemployment, total (% of total labor force) (modeled ILO estimate); Domestic private health expenditure (% of current health expenditure)"
2021,Mid-COVID,0,56,Algeria; Argentina; Belarus; Belize; Bolivia; Bosnia and Herzegovina; Brazil; Brunei Darussalam,"Personal remittances, received (% of GDP); Unemployment, total (% of total labor force) (modeled ILO estimate); Gross capital formation (% of GDP); Domestic general government health expenditure (% of current health expenditure); Manufacturing, value added (% of GDP)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate); Exports of goods and services (% of GDP); Current health expenditure (% of GDP); Domestic general government health expenditure (% of GDP); Services, value added (% of GDP)"
2021,Mid-COVID,1,2,Malta; Singapore,"Population density (people per sq. km of land area); Foreign direct investment, net inflows (% of GDP); Exports of goods and services (% of GDP); Imports of goods and services (% of GDP); Services, value added (% of GDP)","Agriculture, forestry, and fishing, value added (% of GDP); Self-employed, total (% of total employment) (modeled ILO estimate); Personal remittances, received (% of GDP); Unemployment, total (% of total labor force) (modeled ILO estimate); School enrollment, primary (% gross)"
2021,Mid-COVID,2,34,Australia; Austria; Belgium; Costa Rica; Croatia; Cyprus; Czechia; Denmark,"Domestic general government health expenditure (% of GDP); Services, value added (% of GDP); Current health expenditure (% of GDP); Domestic general government health expenditure (% of current health expenditure); Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Self-employed, total (% of total employment) (modeled ILO estimate); Agriculture, forestry, and fishing, value added (% of GDP); Domestic private health expenditure (% of current health expenditure); Personal remittances, received (% of GDP); Gross capital formation (% of GDP)"
2021,Mid-COVID,3,23,Albania; Armenia; Azerbaijan; Benin; Bhutan; Burkina Faso; Cambodia; Cameroon,"Self-employed, total (% of total employment) (modeled ILO estimate); Agriculture, forestry, and fishing, value added (% of GDP); Domestic private health expenditure (% of current health expenditure); School enrollment, primary (% gross); Gross capital formation (% of GDP)","Domestic general government health expenditure (% of current health expenditure); Domestic general government health expenditure (% of GDP); Services, value added (% of GDP); Current health expenditure (% of GDP); Unemployment, total (% of total labor force) (modeled ILO estimate)"
